BorrowerId,Gender,Age,AccountAgeDays,EntityAgent,EntityUnit,LoanId,Principal,Interest,LoanAmount,LoanBalance,LoanTermDays,NumRollovers,ChannelUsed,ApprovalStage,IsLoanNew,ProductId,is_default,NumInstallments,TotalAmountPaid,TotalUnpaidAmount,AvgInstallmentPaid,TotalOverpaid,AvgDaysLate,NumLatePayments,NumOnTimePayments
33216,2,52,71,45524,150,78504,18000,4680,22680,17041,28,0,1,67,1,31347,1,4,5639,17041,5639,0,0,0,1
12307,1,48,554,44075,19,61102,5000,1250,6250,0,28,0,1,8,0,30246,1,4,6250,0,1562.5,4688,12,3,1
17426,2,22,423,44249,45,54765,34200,17100,51300,0,84,0,1,22,1,30271,1,12,54720,-3420,4560,30300,14,10,2
18494,1,30,400,44184,26,55916,2010,0,2010,2010,30,0,1,20,1,30256,1,30,NULL,NULL,NULL,NULL,NULL,0,0
20195,2,31,363,44256,106,58572,6000,1500,7500,0,28,0,1,8,1,30246,1,4,7500,0,1875,125,6,4,0
9724,2,62,687,44369,12,45550,10000,2500,12500,0,28,0,NULL,8,0,30246,1,4,12500,0,3125,4050,32,4,0
19899,1,22,371,44275,45,57973,10000,5000,15000,0,84,0,1,22,1,30271,0,12,16500,-1500,1375,NULL,0,0,12
16382,1,34,455,44189,25,53707,10000,2500,12500,0,28,0,1,8,0,30246,0,4,12500,0,3125,3150,-2,0,4
23404,2,30,252,44306,154,69552,10000,2500,12500,0,28,0,1,8,0,30246,0,4,12500,0,3125,0,1,3,1
25882,2,38,176,44363,132,68902,5000,1250,6250,1576,28,0,1,8,1,30246,1,4,4674,1576,1558,998.5,7,3,0
23047,2,48,261,44295,157,65523,5000,1250,6250,0,28,0,1,8,0,30246,0,4,6250,0,1562.5,1345,3,3,1
29308,1,22,114,44387,45,73291,22800,11400,36480,15200,84,0,1,22,1,30271,1,12,21280,15200,3040,NULL,5,2,5
20961,2,45,336,44155,153,72738,8000,2000,10000,0,28,0,1,23,0,30246,1,0,NULL,NULL,NULL,NULL,NULL,0,0
17736,1,28,418,44249,45,54665,27000,13500,40500,0,84,0,1,22,1,30271,1,12,43200,-2700,3600,14400,7,10,2
11301,2,59,607,44073,19,54657,7000,1750,8750,0,28,0,1,8,0,30246,1,4,8750,0,2187.5,25,3,2,2
15637,1,55,472,44175,51,57811,12000,3000,15000,0,31,0,1,30,0,30280,1,1,15000,0,15000,0,0,0,1
21053,1,36,332,44199,28,66215,2010,0,2010,0,30,0,1,20,0,30256,0,30,2010,0,67,3680,30,18,12
21007,2,56,335,44309,106,66619,10000,2500,12500,0,28,0,1,8,0,30246,0,4,12500,0,3125,3700,5,2,2
23209,2,36,256,44339,106,68066,5000,1250,6250,0,28,0,1,8,0,30246,0,4,6250,0,1562.5,1125,0,1,3
26680,2,51,154,44155,153,74538,5000,1250,6250,0,28,0,1,8,1,30246,0,4,6250,0,1562.5,70,0,2,2
15919,2,1,467,44180,51,52376,20000,5000,25000,250,31,0,1,30,1,30280,1,1,NULL,NULL,NULL,NULL,NULL,0,0
19865,2,38,372,44256,106,59794,15000,3750,18750,0,28,0,1,8,0,30246,1,4,18750,0,4687.5,4465,21,4,0
25265,2,51,195,44368,156,72541,8000,2000,10000,0,28,0,1,8,0,30246,0,4,10000,0,2500,0,0,0,4
26485,1,29,157,44250,45,69587,13000,10400,23400,11480,168,0,1,22,1,30272,0,24,13480,9920,1036.923076,22220,11,10,3
28929,2,30,121,44369,155,72817,12000,4500,16500,0,42,0,1,5,1,30250,1,0,NULL,NULL,NULL,NULL,NULL,0,0
23220,2,55,255,44369,12,65678,10000,2500,12500,0,28,0,1,8,0,30246,0,4,12500,0,3125,0,2,1,3
27014,2,51,146,44326,118,73274,5000,1300,6300,0,28,0,1,45,0,30311,0,4,6300,0,1575,1600,13,4,0
26221,1,21,164,44250,45,69149,60000,48000,108000,98195,168,0,1,22,1,30272,0,24,17605,90395,4401.25,6465,NULL,4,0
28859,2,23,122,44250,45,72647,28200,14100,45120,15040,84,0,1,22,1,30271,1,12,30080,15040,3760,NULL,6,0,8
19061,2,24,390,44158,45,56630,27000,13500,40500,0,84,0,1,22,1,30271,0,12,NULL,NULL,NULL,NULL,NULL,0,0
22957,2,29,265,44248,19,63545,6000,1500,7500,0,28,0,1,8,1,30246,0,4,7500,0,1875,1875,4,1,3
20290,2,35,358,44295,157,58799,3000,750,3750,0,28,0,1,8,1,30246,1,4,3750,0,937.5,85,28,4,0
22723,1,26,268,44326,118,63304,7000,2730,9730,0,42,0,1,45,1,30314,0,6,9730,0,1621.666666,1633.95,1,2,4
14191,2,42,525,44123,34,50624,5000,1500,6500,0,14,0,2,14,0,30264,1,14,6500,0,464.285714,12349.61,13,13,1
13272,1,NULL,NULL,35,47,48405,36000,18000,54000,0,84,0,NULL,0,0,30271,1,12,54000,0,4500,166500,37,12,0
21018,2,24,335,44351,159,61990,8000,2000,10000,0,28,0,1,6,0,30246,1,0,NULL,NULL,NULL,NULL,NULL,0,0
12124,2,43,562,44369,12,51195,13000,4875,17875,0,42,0,1,8,0,30250,0,6,17875,0,2979.166666,14982.45,-3,1,5
21900,2,33,307,44303,106,62962,5000,1250,6250,0,28,0,1,8,0,30246,1,4,6250,0,1562.5,6249,12,4,0
25296,2,49,192,44306,154,77431,7000,1750,8750,3370,28,0,1,8,0,30246,1,4,5380,3370,1793.333333,7.5,0,1,2
8616,NULL,NULL,863,43771,6,41392,38000,3800,41800,0,30,0,NULL,4,0,30228,0,1,41800,0,41800,NULL,-12,0,1
13437,1,NULL,NULL,35,47,48570,36000,18000,54000,0,84,0,NULL,0,0,30271,0,12,33500,20500,4187.5,15000,30,8,0
19957,1,30,370,44275,45,58089,54000,27000,81000,0,84,0,1,22,1,30271,0,12,86400,-5400,7200,43200,1,4,8
14465,2,55,520,44150,11,51907,10000,2500,12500,0,28,0,1,8,0,30246,0,4,12500,0,3125,3125,-4,1,3
25447,2,40,189,44155,153,67950,4000,1000,5000,0,28,0,1,23,1,30246,1,0,NULL,NULL,NULL,NULL,NULL,0,0
25112,2,22,199,44354,45,67297,21900,10950,32850,0,84,0,1,22,1,30271,0,12,35040,-2190,2920,21550,10,12,0
27036,1,33,145,44427,130,70396,3000,750,3750,0,28,0,1,8,1,30246,0,4,3750,0,937.5,2658,6,4,0
9496,2,43,717,44145,3,46017,5000,1250,6250,0,35,0,NULL,2,0,2,1,5,6250,0,1250,1450,7,3,2
24752,2,47,211,44352,11,69560,8000,2000,10000,0,28,0,1,8,0,30246,1,4,10000,0,2500,0,0,3,1
24663,2,28,213,44426,12,66524,5000,1250,6250,0,28,0,1,8,1,30246,1,4,6250,0,1562.5,400,2,3,1
26866,2,49,148,44368,156,72648,6000,1500,7500,1050,28,0,1,8,0,30246,1,4,6450,1050,1612.5,825,7,3,1
19374,1,30,383,44250,45,57144,55000,44000,99000,104000,168,0,1,22,1,30272,1,24,1600,97400,1600,0,NULL,1,0
14502,2,1,519,44150,11,61004,10000,2500,12500,14850,28,0,1,8,0,30246,1,4,1500,11000,1500,0,NULL,1,0
33225,2,37,71,45524,150,78503,5000,1300,6300,5100,28,0,1,67,1,31347,1,4,1200,5100,1200,0,0,0,1
18621,2,33,398,44190,11,56013,3000,750,3750,0,28,0,1,8,1,30246,0,4,3750,0,937.5,3062,0,2,2
25717,2,25,182,44328,106,68487,5000,1250,6250,0,28,0,2,8,0,30246,0,4,6250,0,1562.5,3,0,1,3
16143,2,41,463,44075,19,54893,5000,1250,6250,0,28,0,1,8,0,30246,1,4,6250,0,1562.5,2325,27,4,0
14821,2,44,511,45465,160,74811,15000,3750,18750,0,28,0,1,8,0,30246,0,4,18750,0,4687.5,75,0,2,2
20143,1,35,365,44178,51,58450,10000,2000,12000,0,28,0,1,30,1,30278,1,4,12000,0,3000,0,9,4,0
9988,1,33,653,44081,20,46641,20000,7500,27500,0,42,0,NULL,14,0,30252,1,6,27499.98,0.02,4583.33,11315.07,8,4,2
20285,2,31,358,45535,165,63469,10000,2500,12500,0,28,0,1,8,0,30246,0,4,12500,0,3125,25,2,0,4
25745,1,24,181,44359,132,71987,8000,2000,10000,0,28,0,1,8,0,30246,0,4,10000,0,2500,1000,7,4,0
16158,1,29,462,44368,159,66057,10000,2500,12500,0,28,0,1,8,0,30246,1,4,12500,0,3125,3150,8,4,0
29243,2,60,115,45487,147,73191,8000,2800,10800,0,35,0,1,62,1,30341,0,5,10800,0,2160,7130,0,1,4
9944,2,30,667,44059,11,46797,6000,1500,7500,2193.75,28,0,NULL,8,0,30246,1,4,5875,1625,1468.75,2375,27,4,0
13342,1,NULL,NULL,35,47,48475,123000,61500,184500,0,84,0,NULL,0,0,30271,1,12,184500,0,15375,166750,180,12,0
15658,1,26,472,44173,52,52828,10000,3000,13000,0,42,0,1,30,1,30279,0,6,13000,0,2166.666666,3499.95,3,3,3
11719,1,39,582,44098,32,58549,2010,0,2010,2010,30,0,1,20,0,30256,1,30,NULL,NULL,NULL,NULL,NULL,0,0
24871,2,35,208,44258,106,68439,5000,1250,6250,0,28,0,1,8,0,30246,1,4,6250,0,1562.5,85,2,3,1
18417,2,33,401,45506,161,62493,8000,2000,10000,0,28,0,1,8,0,30246,1,4,10000,0,2500,2600,8,4,0
15112,2,31,490,44368,156,69642,13000,4875,17875,0,42,0,1,8,0,30250,0,6,17875,0,2979.166666,3923.45,4,5,1
5719,NULL,NULL,1066,43771,6,34206,10000,1000,11000,0,31,0,NULL,4,0,30195,0,1,11000,0,11000,100,-8,0,1
14078,1,43,528,44140,48,50958,10000,3000,13000,0,14,0,2,14,0,30264,1,14,12999.98,0.02,928.57,84500.15,21,14,0
10980,2,44,621,44075,19,62869,5000,1250,6250,0,28,0,1,8,0,30246,1,4,6250,0,1562.5,2425,10,4,0
16616,1,33,448,44158,45,52988,39000,19500,58500,0,84,0,2,22,1,30271,0,12,62400,-3900,5200,2600,5,0,12
17055,2,32,433,45506,161,56698,5000,1250,6250,0,28,0,1,8,0,30246,0,4,6250,0,1562.5,5025,1,2,2
22736,2,34,268,44339,106,71941,7000,1750,8750,0,28,0,1,8,0,30246,0,4,8750,0,2187.5,175,0,1,3
16968,2,25,436,44133,45,53629,27000,13500,40500,0,84,0,1,22,1,30271,1,12,43200,-2700,3600,NULL,0,0,12
14299,2,41,523,44074,19,66852,8000,2000,10000,0,28,0,1,8,0,30246,1,4,10000,0,2500,NULL,0,1,3
11043,2,65,618,44306,154,74552,20000,5000,25000,0,28,0,1,8,0,30246,1,4,25000,0,6250,20000,11,4,0
27164,1,44,141,44155,153,70623,12000,3000,15000,0,28,0,1,23,1,30246,1,0,NULL,NULL,NULL,NULL,NULL,0,0
11373,2,40,602,44063,11,49969,5000,1250,6250,0,28,0,0,23,1,30246,1,0,NULL,NULL,NULL,NULL,NULL,0,0
19787,2,51,373,44259,106,59348,8000,2000,10000,0,28,0,1,8,0,30246,0,4,10000,0,2500,0,0,0,4
31241,1,32,94,44376,45,75662,22500,15750,40950,0,140,0,1,22,1,30318,0,20,NULL,NULL,NULL,NULL,NULL,0,0
23080,2,42,260,44306,154,78930,7000,1750,8750,8750,28,0,1,72,0,30246,1,4,NULL,NULL,NULL,NULL,NULL,0,0
14178,2,30,526,44140,48,49458,4000,1200,5200,0,14,0,NULL,14,1,30264,1,14,5200,0,371.428571,324.87,1,9,5
26214,2,29,166,44376,45,69121,52200,26100,78300,0,84,0,1,22,1,30271,0,12,83520,-5220,6960,260,6,0,12
26466,2,43,157,44360,132,69602,5000,1250,6250,0,28,0,1,8,1,30246,1,4,6250,0,1562.5,375,0,0,4
23356,1,41,253,44319,118,64233,5000,1300,6300,0,28,0,1,45,1,30311,0,4,6300,0,1575,NULL,-1,0,4
4567,NULL,NULL,1143,43771,6,29385,20000,2000,22000,0,30,0,NULL,4,0,30195,1,1,22000,0,22000,NULL,0,0,1
12523,2,37,548,44111,34,49117,10000,3000,13000,0,14,0,NULL,14,0,30264,0,14,12999.98,0.02,928.57,31000.15,0,6,8
22577,1,39,273,45493,162,75918,10000,2500,12500,0,28,0,1,7,0,30246,1,0,NULL,NULL,NULL,NULL,NULL,0,0
30457,2,58,108,45487,147,78772,6000,2100,8100,8100,35,0,1,62,0,30341,1,5,NULL,NULL,NULL,NULL,NULL,0,0
17801,1,32,416,44249,45,54755,36000,18000,54000,0,84,0,1,22,1,30271,1,12,57600,-3600,4800,30000,17,11,1
23194,1,46,257,44334,106,64036,4000,1000,5000,0,28,0,1,8,1,30246,1,0,NULL,NULL,NULL,NULL,NULL,0,0
18384,2,40,401,44351,159,78076,5000,1250,6250,4687,28,0,1,8,0,30246,1,4,1563,4687,781.5,0.5,1,1,1
23229,2,37,255,45506,161,67389,10000,2500,12500,10000,28,0,1,8,0,30246,1,4,4500,8000,2250,375,69,2,0
27225,2,40,140,45511,125,73351,5000,1250,6250,0,28,0,1,55,0,30329,0,4,6250,0,1562.5,81,3,3,1
9774,2,25,682,44150,11,58492,60000,15000,75000,0,28,0,1,8,0,30246,0,4,75000,0,18750,NULL,0,0,4
25498,2,36,188,44075,19,67943,6000,1500,7500,9375,28,0,1,8,1,30246,1,4,NULL,NULL,NULL,NULL,NULL,0,0
19004,2,31,391,44369,12,65574,10000,2500,12500,0,28,0,1,23,0,30246,1,0,NULL,NULL,NULL,NULL,NULL,0,0
17870,2,1,414,44171,53,54914,7000,1400,8400,0,28,0,2,30,1,30278,0,4,8400,0,2100,355,1,1,3
10666,1,53,632,44155,153,66506,28000,7000,35000,0,28,0,1,8,0,30246,1,4,35000,0,8750,9300,20,4,0
12532,2,35,547,44277,48,49905,7000,2100,9100,0,14,0,0,14,0,30264,1,14,9100,0,650,3580,77,14,0
17667,1,22,420,44129,45,59674,15500,7750,23250,0,84,0,1,22,0,30271,1,12,25110,-1860,2092.5,12665,86,12,0
25228,2,36,195,44155,153,67526,8000,2000,10000,1175,28,0,1,8,1,30246,1,4,9150,850,2287.5,300,29,3,1
25321,2,36,192,44369,155,68977,7000,1750,8750,0,28,0,1,8,0,30246,0,4,8750,0,2187.5,112,0,0,4
26958,2,38,146,44384,130,70567,7000,1750,8750,0,28,0,1,8,1,30246,1,4,8769.5,-19.5,2192.375,475,14,4,0
31308,1,38,93,44329,118,75747,4000,1040,5040,5040,28,0,1,45,1,30311,1,4,NULL,NULL,NULL,NULL,NULL,0,0
23160,2,36,259,45463,163,69087,7000,2625,9625,0,42,0,1,8,0,30250,1,0,NULL,NULL,NULL,NULL,NULL,0,0
21901,2,25,307,44304,158,66222,3000,750,3750,0,28,0,1,8,0,30246,1,4,3750,0,937.5,5,2,1,3
4606,NULL,NULL,1141,43771,6,42030,25000,3750,28750,0,30,0,NULL,4,0,30203,1,1,28750,0,28750,NULL,2,1,0
28846,1,31,123,44436,136,72629,26000,0,26000,17300,325,0,1,52,1,30330,0,325,5200,20800,80,9500,0,12,53
19911,1,25,371,44274,45,57991,24000,12000,36000,0,84,0,1,22,1,30271,1,12,38400,-2400,3200,7000,12,8,4
23033,1,29,262,44199,28,63671,2010,0,2010,2010,30,0,1,20,1,30256,1,30,NULL,NULL,NULL,NULL,NULL,0,0
22476,2,36,275,44352,11,66136,10000,2500,12500,9000,28,0,1,8,0,30246,1,4,3500,9000,1750,375,15,2,0
25988,2,36,174,45463,163,68765,5000,1250,6250,0,28,0,1,23,1,30246,1,0,NULL,NULL,NULL,NULL,NULL,0,0
10044,2,39,651,44075,19,47171,14000,3500,17500,0,28,0,NULL,8,0,30246,0,4,17500,0,4375,50,0,0,4
10135,2,45,646,44084,11,45721,10000,2500,12500,0,28,0,NULL,8,1,30246,0,4,12500,0,3125,90,3,3,1
4475,NULL,NULL,1149,43771,6,29563,20000,2000,22000,0,30,0,NULL,4,0,30195,1,1,22000,0,22000,21000,1,1,0
12521,2,46,548,44123,34,48250,7000,2100,9100,0,14,0,NULL,14,1,30264,1,14,9100,0,650,10200,3,13,1
30535,2,52,107,45465,160,77139,7000,1750,8750,2185,28,0,1,8,0,30246,1,4,6565,2185,1641.25,10,0,0,4
31169,1,NULL,96,45478,142,78676,5000,1000,6000,6000,28,0,1,59,0,30338,1,4,NULL,NULL,NULL,NULL,NULL,0,0
29334,2,52,113,44329,118,73335,5000,1950,6950,6950,42,0,1,45,1,30314,1,6,NULL,NULL,NULL,NULL,NULL,0,0
15914,1,57,467,44175,51,55394,21000,5250,26250,0,30,0,1,30,0,30280,1,1,26250,0,26250,NULL,0,0,1
22720,1,49,268,44092,16,63299,10000,2000,12000,0,56,0,1,14,1,30319,1,8,12000,0,1500,32000,25,8,0
18341,2,60,402,44189,25,55933,5000,1250,6250,0,28,0,1,8,1,30246,0,4,6250,0,1562.5,1563,2,2,2
24459,2,33,220,44369,155,74794,9000,2250,11250,0,28,0,1,8,0,30246,0,4,11250,0,2812.5,3175,4,2,2
16630,1,38,447,44184,26,53002,2010,0,2010,0,30,0,1,20,1,30256,1,30,2010,0,67,20113,48,28,2
23507,2,31,250,44426,166,64453,5000,1250,6250,0,28,0,1,8,1,30246,0,4,6250,0,1562.5,501,5,0,4
14006,1,36,532,44277,48,49325,3000,900,3900,3470,14,0,NULL,14,1,30264,1,14,430,3470,215,1.43,0,1,1
24104,2,31,232,44339,106,66717,3000,750,3750,0,28,0,1,8,0,30246,0,4,3750,0,937.5,115,1,0,4
22363,2,61,279,45493,162,68029,5000,1250,6250,0,28,0,1,8,0,30246,1,4,6250,0,1562.5,1362,6,4,0
25817,2,28,177,45465,160,70019,4000,1000,5000,0,28,0,1,8,0,30246,1,4,5000,0,1250,1550,19,3,1
17899,2,40,414,44155,153,70705,4000,1000,5000,0,28,0,1,8,0,30246,0,4,5000,0,1250,150,2,3,1
20645,2,29,346,44274,45,59515,25800,12900,38700,0,84,0,1,22,1,30271,0,12,41280,-2580,3440,62520,72,9,3
16505,2,40,451,44351,159,57187,5000,1250,6250,0,28,0,1,8,0,30246,1,4,6250,0,1562.5,475,7,4,0
26816,2,52,149,44369,155,70080,8000,2000,10000,11500,28,0,1,8,1,30246,1,4,NULL,NULL,NULL,NULL,NULL,0,0
18401,2,46,401,44351,11,72199,6000,1500,7500,0,28,0,1,8,0,30246,1,4,7500,0,1875,1545,6,4,0
20203,1,4,363,44109,30,58568,2010,0,2010,1809,30,0,1,20,1,30256,1,30,201,1809,67,201,2,3,0
17853,2,36,415,45465,160,64711,10000,2500,12500,10650,28,0,1,8,0,30246,1,4,1850,10650,1850,0,0,1,0
32595,1,38,87,45493,162,77173,7000,1750,8750,0,28,0,1,7,1,30246,1,0,NULL,NULL,NULL,NULL,NULL,0,0
25704,2,26,182,45493,162,68287,8000,0,8000,0,28,0,1,8,1,30246,0,4,NULL,NULL,NULL,NULL,NULL,0,0
26086,1,24,170,44376,45,68889,20000,16000,36000,32000,168,0,1,22,1,30272,1,24,6400,29600,1600,NULL,19,4,0
11515,1,40,592,44068,26,51442,5900,1534,7434,7434,26,0,1,20,0,30253,1,26,NULL,NULL,NULL,NULL,NULL,0,0
25184,2,57,196,44304,158,69226,8000,2000,10000,7025,28,0,1,8,0,30246,1,4,4600,5400,2300,0,0,1,1
28733,2,44,126,45465,160,75234,20000,5000,25000,0,28,0,1,56,0,30246,1,0,NULL,NULL,NULL,NULL,NULL,0,0
17276,2,32,428,44246,19,65201,18000,4500,22500,0,28,0,1,8,0,30246,0,4,22500,0,5625,2750,3,0,4
30516,1,24,108,44376,45,74619,15000,7500,24000,15000,84,0,1,22,1,30271,1,12,9000,15000,1800,1500,11,5,0
18638,2,27,398,45506,161,56030,6000,1500,7500,0,28,0,1,8,1,30246,0,4,7500,0,1875,0,4,3,1
31270,2,59,94,45525,147,78920,5000,1750,6750,6750,35,0,1,62,0,30341,1,5,NULL,NULL,NULL,NULL,NULL,0,0
5365,NULL,NULL,1097,43771,6,30952,NULL,2000,22000,0,NULL,0,NULL,4,0,30195,0,0,NULL,NULL,NULL,NULL,NULL,0,0
14961,1,24,493,44332,11,64170,20000,5000,25000,0,28,0,1,8,0,30246,0,4,25000,0,6250,21500,-1,2,2
21073,2,66,332,44309,106,67606,7000,1750,8750,0,28,0,1,8,0,30246,1,4,8750,0,2187.5,7895,9,4,0
